회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
51회,2003년11월22일,2,3,11,16,26,44,35,6,"2,421,117,000원","62,553,680,000원"
52회,2003년11월29일,2,4,15,16,20,29,1,4,"3,900,844,900원","64,393,446,000원"
53회,2003년12월06일,7,8,14,32,33,39,42,3,"5,014,371,000원","64,996,010,000원"
54회,2003년12월13일,1,8,21,27,36,39,37,3,"5,148,626,600원","63,833,006,000원"
55회,2003년12월20일,17,21,31,37,40,44,7,2,"7,088,799,600원","62,195,764,000원"
56회,2003년12월27일,10,14,30,31,33,37,19,4,"3,777,570,900원","65,258,932,000원"
57회,2004년01월03일,7,10,16,25,29,44,6,4,"4,114,411,900원","70,132,666,000원"
58회,2004년01월10일,10,24,25,33,40,44,1,4,"3,676,429,200원","66,638,136,000원"
59회,2004년01월17일,6,29,36,39,41,45,13,4,"4,127,587,300원","67,563,698,000원"
60회,2004년01월24일,2,8,25,36,39,42,11,7,"2,172,504,600원","65,405,936,000원"
61회,2004년01월31일,14,15,19,30,38,43,8,5,"3,541,038,800원","73,312,994,000원"
62회,2004년02월07일,3,8,15,27,29,35,21,1,"15,817,286,400원","66,740,368,000원"
63회,2004년02월14일,3,20,23,36,38,40,5,2,"7,922,245,500원","67,074,050,000원"
64회,2004년02월21일,14,15,18,21,26,36,39,4,"3,899,818,000원","65,085,154,000원"
65회,2004년02월28일,4,25,33,36,40,43,39,4,"3,727,945,800원","66,685,144,000원"
66회,2004년03월06일,2,3,7,17,22,24,45,4,"3,685,138,200원","63,378,796,000원"
67회,2004년03월13일,3,7,10,15,36,38,33,7,"2,114,436,500원","64,314,872,000원"
68회,2004년03월20일,10,12,15,16,26,39,38,5,"2,945,882,100원","63,813,236,000원"
